order_country_en,total_orders,total_sales,avg_sales,avg_benefit,late_delivery_rate,avg_shipping_days,avg_distance
Afghanistan,163,38568.86,236.62,7.51,0.57,3.48,12171.23
Albania,37,8299.13,224.3,44.89,0.59,2.46,8524.41
Algeria,516,101095.5,195.92,23.47,0.53,3.73,7906.27
Angola,306,57666.02,188.45,1.18,0.6,3.4,11092.05
Argentina,1931,378746.16,196.14,20.09,0.52,3.47,7780.68
Armenia,5,455.9,91.18,8.49,1.0,2.0,10870.57
Australia,8497,1694621.67,199.44,20.01,0.54,3.5,15192.47
Austria,1387,296302.25,213.63,26.3,0.58,3.43,8135.82
Azerbaijan,68,13369.54,196.61,8.98,0.57,2.94,10769.81
Bahrain,4,529.89,132.47,37.56,0.0,3.0,11601.02
Bangladesh,466,94686.18,203.19,21.38,0.59,3.45,13617.99
Barbados,117,23291.43,199.07,17.07,0.56,3.4,2895.54
Belarus,210,41264.14,196.5,16.64,0.51,3.6,8448.42
Belgium,664,151641.32,228.38,23.69,0.56,3.57,7324.91
Belize,13,2494.81,191.91,-17.57,0.62,2.92,2620.68
Benin,85,16430.2,193.3,23.66,0.46,3.04,8730.42
Bhutan,5,769.6,153.92,41.73,1.0,6.0,11296.1
Bolivia,213,42269.38,198.45,22.04,0.59,3.68,6001.14
Bosnia and Herzegovina,45,8869.09,197.09,-7.28,0.69,3.09,8752.45
Botswana,13,2859.64,219.97,46.17,0.69,2.54,11679.49
Brazil,7987,1594319.95,199.61,23.38,0.54,3.54,6816.48
Bulgaria,166,34949.68,210.54,24.52,0.51,3.44,9048.62
Burkina Faso,11,1403.76,127.61,32.02,0.09,3.73,9766.58
Burundi,1,299.95,299.95,77.75,0.0,3.0,12118.79
Cambodia,152,27826.49,183.07,19.57,0.61,3.3,14444.98
Cameroon,275,53905.74,196.02,30.02,0.44,3.19,10119.29
Canada,959,186861.04,194.85,24.92,0.49,3.33,2894.3
Central African Republic,23,4829.37,209.97,28.54,0.65,3.87,12121.44
Chad,3,599.96,199.99,-90.9,0.0,0.0,10580.91
Chile,738,145544.23,197.21,17.85,0.6,3.52,7454.61
China,5758,1172902.11,203.7,21.22,0.54,3.52,12450.3
Chipre,12,2099.77,174.98,31.51,0.67,3.0,10558.54
Colombia,1771,344901.32,194.75,22.27,0.51,3.39,3462.61
Costa Rica,36,5947.17,165.2,6.8,0.69,3.94,3161.94
Croatia,86,17216.28,200.19,26.38,0.59,3.33,8477.02
Cuba,3534,709339.42,200.72,17.15,0.51,3.45,2232.14
Czech Republic,187,38135.87,203.94,18.1,0.53,3.8,7976.15
Democratic Republic of the Congo,1010,198713.26,196.75,23.51,0.6,3.74,11556.07
Denmark,285,58605.8,205.63,18.33,0.45,3.75,7599.54
Djibouti,31,6569.37,211.92,39.97,0.68,4.39,12457.01
Dominican Republic,3669,726613.05,198.04,23.0,0.55,3.52,2320.71
Ecuador,294,59389.69,202.01,9.51,0.67,3.34,4040.8
Egypt,1189,232570.18,195.6,17.72,0.56,3.41,10309.58
El Salvador,3726,747720.21,200.68,20.68,0.56,3.56,2933.96
Equatorial Guinea,2,319.96,159.98,51.68,1.0,3.5,9542.06
Eritrea,2,309.96,154.98,46.24,1.0,6.0,13929.32
Estonia,29,5603.42,193.22,2.09,0.97,3.83,8556.38
Ethiopia,25,3859.44,154.38,17.86,0.36,2.96,11652.77
Finland,290,61129.22,210.79,21.66,0.48,3.59,8099.55
France,13222,2879942.36,217.81,24.79,0.56,3.49,7363.6
French Guiana,9,1704.75,189.42,-25.76,0.33,2.44,4439.97
Gabon,45,9253.98,205.64,8.33,0.78,3.2,9655.83
Georgia,93,18498.05,198.9,12.56,0.69,3.19,7648.07
Germany,9564,2074171.82,216.87,20.37,0.56,3.52,7672.29
Ghana,264,53062.87,201.0,23.22,0.61,3.86,9083.3
Greece,28,6605.52,235.91,7.41,0.39,3.25,9002.33
Guadalupe,36,6394.27,177.62,17.36,0.39,3.86,2672.56
Guatemala,2778,550517.12,198.17,17.04,0.55,3.48,2951.67
Guinea,45,9464.58,210.32,34.17,0.42,3.58,8664.59
Guinea-Bissau,28,5169.41,184.62,-51.74,0.54,3.89,7932.89
Guyana,19,4029.55,212.08,26.39,0.79,2.63,4263.8
Haiti,534,99849.76,186.98,22.0,0.54,3.66,2226.53
Honduras,3629,734959.67,202.52,23.47,0.53,3.5,2820.53
Hong Kong,73,14034.02,192.25,4.21,0.37,3.25,13224.75
Hungary,179,36030.44,201.29,32.17,0.63,3.84,8510.82
India,4783,962396.7,201.21,20.85,0.56,3.52,13576.61
Indonesia,4204,847605.93,201.62,21.58,0.55,3.48,16429.52
Iran,1460,285869.16,195.8,23.91,0.55,3.59,11334.67
Iraq,976,193168.15,197.92,19.29,0.5,3.42,10942.77
Ireland,491,116683.22,237.64,13.42,0.61,3.49,6725.87
Israel,265,54023.76,203.86,22.63,0.59,3.37,10476.85
Italy,4989,1072181.67,214.91,24.36,0.54,3.45,8207.2
Ivory Coast,257,48247.97,187.74,21.61,0.61,3.42,9417.7
Jamaica,170,33063.83,194.49,29.38,0.5,3.56,2258.9
Japan,758,154352.13,203.63,15.93,0.52,3.54,11403.24
Jordan,108,20006.61,185.25,11.28,0.52,3.86,10428.08
Kazakhstan,274,53742.19,196.14,21.3,0.58,3.31,10682.67
Kenya,238,50662.48,212.87,16.08,0.49,3.28,13159.17
Kuwait,2,334.96,167.48,66.92,0.0,4.0,11212.51
Kyrgyzstan,98,18991.2,193.79,32.12,0.39,3.14,11322.78
Laos,6,683.01,113.84,14.02,1.0,5.83,15388.0
Lebanon,20,2967.65,148.38,37.91,0.3,2.15,9788.38
Lesotho,20,3149.62,157.48,24.23,0.5,3.55,12085.8
Liberia,34,6974.28,205.13,5.35,0.41,3.09,7323.9
Libya,105,21217.98,202.08,32.2,0.47,3.11,9228.13
Lithuania,133,23951.94,180.09,20.65,0.56,3.15,8181.41
Luxembourg,10,1764.72,176.47,48.31,1.0,5.5,7422.44
Macedonia,6,1549.88,258.31,49.58,0.17,3.17,8364.79
Madagascar,149,28570.55,191.75,20.89,0.5,3.77,14497.18
Malaysia,544,105694.21,194.29,19.54,0.61,3.33,15557.92
Mali,103,19942.6,193.62,10.23,0.58,3.5,7733.66
Martinique,120,24137.01,201.14,23.98,0.52,3.52,2722.87
Mauritania,21,4601.45,219.12,48.16,0.38,3.71,6625.49
Mexico,13172,2633195.29,199.91,23.02,0.55,3.54,2955.85
Moldova,78,15351.1,196.81,11.43,0.69,4.13,8887.14
Mongolia,79,15481.74,195.97,-3.62,0.66,3.66,11196.44
Montenegro,11,2389.72,217.25,74.35,0.45,4.18,10177.91
Morocco,1135,223420.02,196.85,20.16,0.54,3.49,7182.32
Mozambique,244,48060.4,196.97,34.66,0.64,3.73,13938.75
Myanmar (Burma),409,80748.77,197.43,21.19,0.54,3.49,14262.34
Namibia,20,3789.6,189.48,24.72,0.75,3.95,12536.19
Nepal,80,17733.02,221.66,14.26,0.6,3.2,13261.72
Netherlands,1932,423197.06,219.05,21.95,0.55,3.44,7292.63
New Zealand,1590,310038.79,194.99,18.35,0.53,3.5,12866.09
Nicaragua,3046,605055.1,198.64,21.68,0.56,3.44,2946.82
Niger,108,23443.35,217.07,32.17,0.64,3.97,8807.6
Nigeria,2309,455321.3,197.19,23.14,0.53,3.53,9696.68
Norway,333,73162.69,219.71,28.72,0.53,3.86,7423.91
Oman,8,1374.7,171.84,32.09,0.0,3.5,12759.39
Pakistan,758,151022.68,199.24,23.82,0.58,3.25,12524.02
Panama,1941,385822.72,198.78,19.3,0.51,3.41,3097.2
Papua New Guinea,61,11993.74,196.62,37.12,0.54,3.2,14296.22
Paraguay,78,15595.09,199.94,8.71,0.38,3.1,6611.04
Peru,764,151777.25,198.66,23.23,0.57,3.43,5120.54
Philippines,2103,420269.82,199.84,22.68,0.55,3.56,14135.03
Poland,641,123901.81,193.29,23.18,0.56,3.28,8215.51
Portugal,343,75991.16,221.55,30.35,0.49,3.2,7331.19
Qatar,42,7724.09,183.91,45.7,0.52,3.5,11982.98
Republic of Gambia,5,1449.86,289.97,-53.17,1.0,4.0,7360.58
Republic of the Congo,13,1974.72,151.9,17.25,0.92,2.92,11716.73
Rumania,455,90480.96,198.86,27.79,0.58,3.47,9051.49
Russia,1014,200161.53,197.4,17.23,0.55,3.49,9611.48
Rwanda,86,18913.02,219.92,-3.84,0.48,3.7,11963.11
Saudi Arabia,860,163149.7,189.71,13.65,0.58,3.53,11445.53
Senegal,263,50717.07,192.84,19.03,0.44,3.47,6949.79
Serbia,1,120.0,120.0,42.0,0.0,3.0,9074.67
Sierra Leone,39,7429.04,190.49,10.73,0.49,3.49,8520.88
Singapore,455,93789.42,206.13,25.05,0.53,3.45,15989.25
Slovakia,22,4739.5,215.43,26.72,0.73,3.86,8536.77
Slovenia,6,1189.86,198.31,3.83,0.83,3.5,7426.15
Somalia,141,28501.9,202.14,26.52,0.64,2.98,13242.97
South Africa,1099,217192.82,197.63,26.33,0.53,3.43,13529.46
South Korea,583,123235.0,211.38,24.8,0.6,3.62,11452.13
South Sudan,5,879.94,175.99,44.56,1.0,3.8,10673.64
Spain,3868,851526.74,220.15,24.19,0.56,3.45,7285.95
Sri Lanka,16,2634.72,164.67,28.68,0.69,4.31,15220.24
Sudan,251,50190.06,199.96,16.77,0.5,3.45,11530.9
Surinam,8,1339.84,167.48,19.6,0.0,2.0,5370.1
Swaziland,5,1259.91,251.98,62.49,1.0,6.0,16116.95
Sweden,929,204599.5,220.24,23.73,0.59,3.5,7830.83
Swiss,330,67361.24,204.12,23.32,0.53,3.77,7811.42
Syria,63,12408.74,196.96,43.96,0.54,3.67,10608.57
Taiwan,29,6396.33,220.56,-47.4,0.34,3.59,12921.03
Tajikistan,7,845.91,120.84,34.5,0.43,2.71,11585.11
Tanzania,378,75470.2,199.66,27.07,0.56,3.29,12974.06
Thailand,909,189513.64,208.49,25.01,0.57,3.5,14701.9
Togo,122,23693.49,194.21,13.08,0.37,3.29,8664.66
Trinidad and Tobago,138,28330.55,205.29,33.02,0.59,4.14,3056.17
Tunisia,36,6258.47,173.85,26.28,0.78,3.25,8630.38
Turkey,3395,667863.36,196.72,20.89,0.56,3.52,9785.03
Turkmenistan,53,12108.34,228.46,11.81,0.7,4.19,11379.34
USA,24840,4879667.67,196.44,21.76,0.55,3.49,2642.66
Uganda,96,19516.92,203.3,31.81,0.59,3.68,12103.74
Ukraine,967,189131.52,195.59,17.08,0.54,3.49,9101.47
United Arab Emirates,29,5690.39,196.22,28.58,0.69,2.9,12183.59
United Kingdom,7302,1612094.85,220.77,24.78,0.53,3.48,6969.56
Uruguay,139,27062.91,194.7,19.36,0.56,3.64,7479.03
Uzbekistan,121,24152.29,199.61,26.39,0.58,3.6,11600.95
Venezuela,984,194201.28,197.36,28.46,0.55,3.61,3064.35
Vietnam,757,166364.27,219.77,21.73,0.52,3.58,14699.85
Western Sahara,2,599.96,299.98,-8.76,1.0,6.0,5503.2
Yemen,71,13106.28,184.6,20.94,0.59,3.66,12338.27
Zambia,266,55521.24,208.73,15.49,0.56,3.82,12987.77
Zimbabwe,190,39099.52,205.79,25.66,0.56,3.47,13092.0
